Rank,Word,SFI,U (Freq/million
1,the,87.64,58062
2,be,87.61,57708
3,I,85.16,32799
4,a,84.95,31229
5,and,84.62,28958
6,to,84.46,27906
7,you,83.73,23622
8,he,82.14,16375
9,it,81.96,15704
10,of,81.62,14507
11,in,81.56,14321
12,do,81.43,13898
13,they,80.80,12030
14,have,80.38,10918
15,not,80.36,10858
16,that,80.11,10247
17,we,79.69,9304
18,she,79.47,8849
19,say,78.96,7867
20,for,78.80,7583
21,on,78.78,7549
22,this,78.66,7338
23,what,78.16,6547
24,go,77.80,6032
25,with,77.78,6001
26,can,77.43,5531
27,at,77.00,5011
28,there,76.49,4457
29,but,76.48,4445
30,will,76.36,4321
31,like,76.29,4255
32,about,75.96,3948
33,see,75.89,3882
34,get,75.65,3673
35,all,75.64,3666
36,as,75.53,3569
37,one,75.52,3562
38,make,75.34,3418
39,then,75.30,3390
40,or,75.21,3316
41,up,75.11,3240
42,from,75.04,3193
43,so,74.98,3144
44,look,74.97,3140
45,know,74.87,3066
46,time,74.52,2831
47,think,74.44,2781
48,want,74.38,2743
49,how,74.27,2674
50,when,74.27,2670
51,student,74.26,2670
52,very,74.25,2661
53,good,74.17,2613
54,come,74.12,2585
55,if,73.93,2470
56,out,73.88,2446
57,people,73.63,2305
58,take,73.61,2295
59,ask,73.48,2229
60,here,73.48,2228
61,child,73.34,2158
62,day,73.30,2137
63,two,73.29,2133
64,play,72.95,1972
65,no,72.89,1946
66,some,72.88,1940
67,word,72.74,1877
68,who,72.73,1874
69,other,72.70,1863
70,use,72.64,1838
71,man,72.62,1830
72,find,72.62,1828
73,by,72.60,1819
74,could,72.52,1788
75,help,72.43,1749
76,little,72.39,1735
77,too,72.27,1687
78,where,72.26,1683
79,just,72.07,1611
80,more,72.05,1605
81,now,72.01,1590
82,tell,72.01,1588
83,thing,71.97,1575
84,music,71.90,1548
85,friend,71.80,1512
86,eat,71.78,1506
87,into,71.72,1486
88,back,71.69,1474
89,love,71.67,1468
90,each,71.64,1459
91,down,71.53,1424
92,many,71.51,1415
93,right,71.50,1413
94,would,71.49,1410
95,three,71.48,1407
96,laugh,71.47,1402
97,work,71.39,1378
98,again,71.38,1375
99,animal,71.38,1374
100,big,71.26,1338
101,give,71.25,1334
102,live,71.16,1307
103,mister,71.13,1298
104,read,71.06,1276
105,sing,70.97,1250
106,way,70.95,1245
107,need,70.93,1239
108,let,70.89,1229
109,happy,70.84,1213
110,around,70.79,1201
111,why,70.75,1189
112,something,70.67,1167
113,away,70.62,1152
114,after,70.61,1151
115,picture,70.60,1147
116,feel,70.54,1132
117,call,70.50,1121
118,because,70.49,1120
119,food,70.47,1113
120,over,70.44,1106
121,first,70.40,1096
122,name,70.40,1096
123,put,70.39,1095
124,try,70.26,1062
125,year,70.18,1043
126,write,70.18,1043
127,letter,70.17,1040
128,really,70.14,1032
129,old,70.13,1031
130,answer,70.10,1023
131,walk,70.03,1008
132,long,70.02,1005
133,show,70.02,1004
134,run,69.98,995
