Rank,Word,SFI,U (Freq/million
743.,finally,61.39,138
72.,find,72.62,1828
586.,fine,63.05,202
390.,finger,65.11,325
452.,finish,64.46,279
431.,fire,64.64,291
121.,first,70.4,1096
245.,fish,67.28,535
227.,five,67.54,567
738.,flap,61.44,139
555.,flashcard,63.3,214
564.,floor,63.24,211
427.,flower,64.7,295
251.,fly,67.11,513
286.,follow,66.44,440
119.,food,70.47,1113
231.,foot,67.39,548
20.,for,78.8,7583
676.,foreign,62.06,161
395.,forest,65.01,317
548.,forget,63.38,218
596.,form,62.91,195
844.,forward,60.64,116
194.,four,68.26,670
621.,free,62.56,180
85.,friend,71.8,1512
605.,frog,62.75,188
42.,from,75.04,3193
397.,front,64.99,316
567.,fruit,63.21,209
525.,full,63.52,225
221.,fun,67.62,578
798.,funny,61.04,127
616.,future,62.61,182
188.,game,68.36,686
534.,garden,63.45,221
855.,gasp,60.59,114
34.,get,75.65,3673
769.,giant,61.18,131
647.,giggle,62.38,173
200.,girl,68.03,635
101.,give,71.25,1334
663.,glass,62.26,168
24.,go,77.8,6032
740.,goat,61.42,139
756.,gold,61.33,136
53.,good,74.17,2613
733.,goodbye,61.45,140
827.,grandma,60.78,120
162.,great,69.19,830
326.,green,65.85,385
404.,ground,64.93,311
252.,group,67.09,512
238.,grow,67.31,538
460.,guess,64.31,270
762.,gun,61.27,134
684.,guy,61.96,157
299.,hair,66.16,413
614.,half,62.63,183
135.,hand,69.96,992
704.,hang,61.72,149
234.,happen,67.33,541
109.,happy,70.84,1213
266.,hard,66.87,486
432.,hat,64.63,291
14.,have,80.38,10918
8.,he,82.14,16375
187.,head,68.37,687
629.,healthy,62.52,178
151.,hear,69.5,890
566.,heart,63.21,209
750.,heavy,61.36,137
473.,hello,64.22,264
75.,help,72.43,1749
60.,here,73.48,2228
446.,hey,64.5,282
489.,hi,63.99,251
405.,hide,64.92,310
276.,high,66.59,456
785.,hill,61.12,129
634.,himself,62.47,177
518.,hit,63.6,229
207.,hold,67.86,611
