Lemma,SFI,Frequency
group,66.601,9,283
together,65.314,9,247
high,66.883,9,246
friend,65.071,9,183
build,65.823,9,158
family,66.807,9,125
watch,65.049,9,043
country,68.723,9,040
plan,65.925,9,021
fifty,58.374,9,018
send,65.051,9,015
obviously,63.854,8,931
reason,65.514,8,919
yet,64.793,8,910
walk,64.227,8,860
either,64.118,8,841
wait,64.262,8,826
already,65.051,8,825
person,65.568,8,813
open,65.430,8,755
once,65.037,8,747
report,67.680,8,641
deal,66.193,8,641
stop,65.020,8,626
hand,65.080,8,582
alright,57.590,8,530
example,65.034,8,523
cause,64.448,8,480
information,64.634,8,443
please,62.495,8,410
exactly,64.804,8,366
ago,66.390,8,357
room,63.654,8,249
answer,64.549,8,234
spend,65.478,8,196
stay,64.862,8,124
rather,63.608,8,089
certainly,65.280,8,083
breath,59.014,8,066
while,65.520,8,010
everybody,64.339,8,001
clear,64.434,7,986
eat,63.078,7,977
perhaps,63.594,7,937
early,66.029,7,907
care,65.307,7,905
pick,63.712,7,898
type,62.839,7,875
matter,64.639,7,807
such,65.258,7,802
until,64.692,7,781
hope,65.644,7,741
level,64.585,7,734
small,64.909,7,673
line,65.637,7,600
close,65.791,7,596
phone,63.932,7,551
least,65.143,7,546
under,65.488,7,545
someone,64.746,7,529
system,65.816,7,410
cost,63.995,7,399
state,67.829,7,383
sometimes,63.959,7,363
paper,62.517,7,343
top,64.658,7,338
since,65.710,7,326
concern,64.846,7,326
true,64.187,7,276
order,64.098,7,224
government,67.854,7,198
sound,64.166,7,177
tomorrow,63.290,7,131
service,64.085,7,120
wrong,63.625,7,083
lose,65.451,7,047
easy,63.436,7,033
water,64.165,6,965
program,66.180,6,945
parent,64.023,6,875
break,64.694,6,829
agree,64.416,6,811
business,65.598,6,733
within,63.602,6,705
door,62.160,6,703
sense,65.007,6,694
drive,63.863,6,694
stand,64.457,6,662
basically,63.706,6,617
process,64.544,6,604
hold,65.083,6,603
cut,64.176,6,589
moment,64.391,6,556
girl,62.753,6,532
past,64.739,6,467
without,64.585,6,441
learn,64.570,6,440
young,65.409,6,411
anybody,62.602,6,406
teacher,62.264,6,355
become,66.361,6,346
member,65.006,6,334
train,63.306,6,316
class,62.623,6,288
forty,56.995,6,288
company,66.067,6,254
begin,66.107,6,239
fine,61.848,6,231
support,65.261,6,219
world,67.798,6,213
head,64.744,6,213
nineteen,55.981,6,194
dad,60.648,6,178
view,63.826,6,151
decide,64.140,6,135
finish,61.752,6,125
expect,64.588,6,102
particular,62.999,6,099
percent,65.114,6,071
shop,61.274,6,059
situation,64.311,5,986
involve,64.042,5,949
check,62.848,5,908
along,63.822,5,904
full,62.641,5,888
form,62.776,5,878
sell,63.636,5,872
story,66.940,5,867
certain,63.498,5,793
local,63.317,5,785
ring,59.681,5,767
figure,63.512,5,756
twelve,56.046,5,755
wonder,62.902,5,715
boy,62.246,5,714
