This sample contains frequency information for every tenth word (word #131, 141, 151, etc) in the top 60,000 word list from iWeb.
-- The list is lemmatized, meaning that all "inflected" forms are included. For example, "get" (#41) is 
the combined frequency of get, gets, got, gotten, and getting.
-- There is also a "word forms" list, which has each form and its frequency as separate columns.

-------------------------------

More information:

https://www.wordfrequency.info: Word frequency lists (from iWeb, COCA, and more)
https://corpus.byu.edu/iweb/: iWeb corpus (14 billion words, 22 million words, 95,000 selected websites)
http://davies-linguistics.byu.edu/: Mark Davies (creator of the iWeb corpus)

-------------------------------

-- A word may appear multiple times in the list, each for a different part of speech (e.g. "strike" as a noun and as a verb).
-- Some words are parts of multi-word expressions, especially for adverbs ("r"), conjunctions ("c"), and prepositions ("i").
For example, "light" as a preposition (#6592) is part of the phrase "in light of".

* "wordID" corresponds in most cases to the ranking (1-60,000). It can safely be ignored in most cases, although it will provide a 
way to match up this data with the collocates or n-grams data.
* pos = part of speech (the first letter from the PoS codes at http://ucrel.lancs.ac.uk/claws7tags.html)
* "Range" is the percentage of the ~95,000 websites that have the word at least once.
* "Range10" is the percentage of the ~95,000 websites that have the word at least ten times.
* "Caps" is the percentage of forms of the word that are capitalized. This is especially useful for nouns, where 
capitalization is often a marker of proper nouns. (Proper nouns are not included in the list, but there are
many words that "straddle" the line between common and proper nouns, e.g. Rice/rice, Brown/brown, Beach/beach).


rank	wordID	word	PoS	frequency	range	range10	caps
13381	13910	eminent	j	30819	0.02	0.01	0.11
13391	14023	VGA	n	30773	0.04	0.01	0.96
13401	13543	purchased	j	30716	0.02	0	0.13
13411	14018	bipartisan	j	30658	0.03	0.01	0.07
13421	13926	unforeseen	j	30594	0.17	0	0.02
13431	10563	obscene	j	30568	0.02	0	0.04
13441	13582	segment	v	30505	0.02	0	0.06
13451	13823	collected	j	30434	0.03	0	0.18
13461	13951	persevere	v	30397	0.03	0	0.06
13471	14085	prematurely	r	30361	0.03	0	0.01
13481	14033	vigor	n	30310	0.02	0.01	0.08
13491	14102	noted	j	30244	0.03	0	0.06
13501	14152	salespeople	n	30211	0.02	0.01	0.09
13511	14198	puberty	n	30165	0.02	0.01	0.06
13521	14193	redo	n	30107	0.12	0	0.05
13531	14177	permeate	v	30048	0.14	0	0
13541	14141	strenuous	j	30015	0.03	0	0.02
13551	14153	neuroscience	n	29977	0.02	0.01	0.11
13561	14038	measles	n	29943	0.01	0.01	0.15
13571	14218	morph	v	29892	0.03	0	0.01
13581	14222	partisan	j	29839	0.02	0.01	0.06
13591	14146	dogma	n	29801	0.02	0.01	0.16
13601	14203	garnish	v	29759	0.02	0.01	0.33
13611	13975	streaming	n	29704	0.02	0.01	0.11
13621	14258	preparatory	j	29643	0.03	0	0.32
13631	14111	godly	j	29601	0.01	0.01	0.22
13641	14205	picker	n	29567	0.02	0.01	0.24
13651	14332	bait	v	29521	0.02	0	0.14
13661	14414	nesting	n	29462	0.08	0.01	0.1
13671	14227	resurgence	n	29403	0.03	0	0.09
13681	14140	hipster	n	29355	0.02	0.01	0.12
13691	14317	deck	v	29298	0.03	0	0.04
13701	14333	disciplined	j	29267	0.03	0	0.05
13711	14450	retake	v	29214	0.02	0	0.03
13721	14297	eyesight	n	29153	0.02	0	0.11
13731	14329	frantic	j	29131	0.03	0	0.07
13741	14131	affliction	n	29080	0.02	0	0.09
13751	14399	appalling	j	29035	0.02	0	0.03
13761	14295	serenity	n	28990	0.03	0	0.23
13771	14175	emeritus	j	28952	0.03	0	0.57
13781	14408	slack	j	28926	0.02	0	0.4
13791	14461	assassinate	v	28886	0.02	0.01	0.02
13801	14357	sag	v	28857	0.03	0	0.11
13811	14438	manslaughter	n	28827	0.02	0.01	0.05
13821	14363	grate	n	28794	0.01	0	0.06
13831	14508	co-star	n	28772	0.02	0	0.07
13841	14173	CFO	n	28741	0.08	0	0.99
13851	14541	fibrosis	n	28693	0.02	0.01	0.18
13861	14522	spinning	j	28671	0.02	0	0.08
13871	14387	over-the-counter	j	28636	0.02	0.01	0.08
13881	14511	ingestion	n	28588	0.02	0.01	0.08
13891	14552	feline	j	28536	0.01	0	0.24
13901	14518	reluctance	n	28501	0.03	0	0.03
13911	14578	lipid	j	28459	0.02	0.01	0.07
13921	14529	patty	n	28423	0.02	0.01	0.08
13931	14531	powerless	j	28398	0.03	0.01	0.04
13941	14650	relapse	n	28348	0.01	0	0.05
13951	14594	choreography	n	28303	0.02	0	0.09
13961	14477	embellish	v	28259	0.03	0	0.08
13971	14620	outnumber	v	28215	0.03	0	0.04
13981	14557	labyrinth	n	28144	0.02	0.01	0.32
13991	14644	legitimately	r	28090	0.03	0	0.01
14001	14699	sprocket	n	28051	0.01	0	0.05
14011	14550	chime	n	28012	0.02	0	0.23
14021	14599	aromatherapy	n	27972	0.01	0	0.32
14031	14686	boar	n	27925	0.02	0.01	0.24
14041	14858	boardwalk	n	27887	0.02	0.01	0.27
14051	14638	dexterity	n	27840	0.02	0	0.29
14061	14849	shutout	n	27799	0.01	0.01	0
14071	14559	twenty-four	m	27744	0.11	0	0.17
14081	14707	modernization	n	27704	0.02	0.01	0.24
14091	14481	airfare	n	27631	0.02	0.01	0.05
14101	14673	unstoppable	j	27589	0.03	0	0.07
14111	14831	tack	n	27561	0.02	0	0.07
14121	14491	waistband	n	27528	0.02	0.01	0
14131	14737	anabolic	j	27497	0.01	0	0.13
14141	14835	logistical	j	27466	0.02	0	0.03
14151	14787	biochemical	j	27424	0.02	0.01	0.08
14161	14802	clot	v	27382	0.02	0.01	0.02
14171	15036	hamster	n	27353	0.01	0	0.09
14181	14885	makeshift	j	27305	0.02	0	0.03
14191	14867	java	n	27268	0.01	0	0
14201	15246	badass	n	27240	0.08	0	0.04
14211	14912	fiance	n	27173	0.02	0	0.06
14221	14898	wide-ranging	j	27142	0.03	0	0.01
14231	14907	monologue	n	27071	0.02	0	0.12
14241	14812	glazed	j	27034	0.02	0	0.17
14251	15022	fluke	n	26993	0.02	0	0.27
14261	14954	stagnant	j	26953	0.03	0	0.03
14271	14828	oppressive	j	26926	0.02	0.01	0.01
14281	14855	vertical	n	26910	0.02	0	0.08
14291	14979	tickle	v	26847	0.02	0	0.07
14301	14896	enslave	v	26818	0.02	0.01	0.03
14311	14940	flywheel	n	26766	0.01	0.01	0
14321	14985	phobia	n	26746	0.01	0	0.02
14331	14944	reposition	v	26696	0.02	0	0.05
14341	15009	incontinence	n	26646	0.01	0.01	0.11
14351	15070	baffle	v	26596	0.03	0	0.03
14361	15077	rub	n	26571	0.02	0	0.12
14371	15100	gravitate	v	26511	0.03	0	0
14381	15130	tapered	j	26490	0.02	0	0.13
14391	15025	grandeur	n	26461	0.03	0	0.08
14401	14998	weaponry	n	26407	0.02	0.01	0.06
14411	15122	dale	n	26370	0.02	0	0.87
14421	15076	unpublished	j	26331	0.02	0	0.13
14431	15098	wirelessly	r	26305	0.08	0.01	0.02
14441	15167	sill	n	26265	0.02	0	0.18
14451	15182	crawl	n	26225	0.02	0	0.15
14461	14893	afar	r	26187	0.02	0	0.13
14471	14764	subtraction	n	26156	0.02	0.01	0.12
14481	15206	ooh	u	26106	0.08	0	0.67
14491	15202	exaggeration	n	26054	0.02	0	0.02
14501	15038	reorganization	n	26015	0.02	0	0.12
14511	15166	unresolved	j	25997	0.02	0	0.07
14521	15252	straddle	v	25959	0.02	0	0.08
14531	15251	guidebook	n	25897	0.02	0	0.17
14541	14999	plating	n	25866	0.02	0	0.1
14551	15213	knead	v	25842	0.02	0.01	0.18
14561	15284	sometime	j	25800	0.03	0	0.05
14571	15264	peter	v	25779	0.02	0	0.77
14581	15260	netting	n	25741	0.02	0	0.07
14591	15276	smear	n	25693	0.02	0	0.05
14601	15337	protrude	v	25647	0.03	0	0.01
14611	15191	forwarding	n	25607	0.02	0.01	0.2
14621	15566	motorhome	n	25574	0.01	0	0.06
14631	15378	armpit	n	25520	0.02	0	0.05
14641	15293	agitation	n	25480	0.02	0	0.06
14651	15355	trickle	v	25452	0.02	0	0.03
14661	15241	Zealander	n	25413	0.03	0	1
14671	15345	benchmarking	n	25361	0.07	0.01	0.23
14681	15532	placenta	n	25313	0.01	0.01	0.02
14691	15409	cascade	v	25285	0.02	0	0.22
14701	15296	calamity	n	25237	0.02	0	0.16
14711	15387	inhalation	n	25183	0.02	0	0.1
14721	15308	noir	n	25143	0.06	0.01	0.37
14731	15449	MMA	n	25125	0.03	0	0.95
14741	15489	gauntlet	n	25093	0.02	0	0.37
14751	15488	namesake	n	25053	0.02	0	0.03
14761	15492	overstate	v	25021	0.02	0	0.01
14771	15460	perch	n	24994	0.02	0	0.13
14781	15465	hinge	v	24959	0.02	0	0.03
14791	15612	sending	n	24927	0.02	0	0.06
14801	15502	exaggerated	j	24890	0.02	0	0.03
14811	15471	aversion	n	24861	0.02	0	0.04
14821	15806	tacky	j	24830	0.02	0	0.08
14831	15667	obligatory	j	24786	0.02	0	0.03
14841	15567	bistro	n	24757	0.02	0	0.43
14851	15632	spleen	n	24719	0.01	0	0.12
14861	15734	insecticide	n	24678	0.02	0	0.04
14871	15599	binge	n	24658	0.02	0	0.08
14881	15622	concealer	n	24629	0.01	0	0.13
14891	15636	generalization	n	24604	0.02	0	0.05
14901	15927	clunky	j	24587	0.02	0	0.01
14911	15543	renegade	n	24562	0.02	0	0.62
14921	15594	cross-border	j	24528	0.02	0.01	0.1
14931	15687	midsole	n	24492	0.01	0	0.03
14941	15638	cherished	j	24455	0.02	0	0.06
14951	15746	fussy	j	24394	0.02	0	0.04
14961	16365	humidifier	n	24365	0.01	0	0.06
14971	15805	foo	n	24339	0.01	0.01	0.31
14981	15724	while	v	24301	0.15	0	0.05
14991	15678	enchanted	j	24281	0.02	0	0.41
15001	15523	impressively	r	24257	0.02	0	0.07
15011	15668	snowman	n	24230	0.02	0.01	0.25
15021	15899	anus	n	24195	0.02	0.01	0.01
15031	15821	scum	n	24154	0.02	0	0.15
15041	15779	dismal	j	24087	0.02	0	0.06
15051	15514	conscientious	j	24057	0.02	0	0.06
15061	15671	teal	n	24018	0.02	0	0.34
15071	15628	sulphur	n	23991	0.02	0	0.32
15081	15858	tidy	v	23949	0.02	0	0.11
15091	15741	haste	n	23904	0.08	0	0.15
15101	13933	readership	n	23870	0.02	0	0.04
15111	15827	positivity	n	23837	0.02	0	0.05
15121	15864	rapist	n	23801	0.02	0.01	0.05
15131	15862	authoritarian	j	23762	0.02	0.01	0.06
15141	15952	cornerback	n	23728	0.01	0.01	0.02
15151	15892	stormy	j	23679	0.02	0	0.18
15161	15925	dandelion	n	23635	0.01	0.01	0.26
15171	15979	Armenian	j	23590	0.01	0	1
15181	16083	ram	v	23558	0.02	0	0.07
15191	16038	Briton	n	23523	0.05	0	1
15201	15837	precept	n	23495	0.01	0	0.05
15211	15887	indexing	n	23466	0.02	0	0.16
15221	15970	bodyguard	n	23440	0.02	0	0.17
15231	15924	bearded	j	23401	0.02	0	0.2
15241	15816	Steering	j	23360	0.02	0	1
15251	15921	designee	n	23340	0.01	0	0.01
15261	12777	unsubscribe	v	23306	0.09	0	0.01
15271	16065	rhetorical	j	23283	0.02	0	0.06
15281	16297	antler	n	23262	0.01	0	0.15
15291	15988	ultrasonic	j	23224	0.01	0	0.24
15301	15823	axial	j	23200	0.01	0	0.24
15311	16161	mrna	n	23183	0.01	0	0
15321	16131	functionally	r	23157	0.02	0	0.1
15331	16626	integrator	n	23136	0.01	0	0.11
15341	16166	fodder	n	23108	0.02	0	0.05
15351	15750	anoint	v	23075	0.01	0	0.03
15361	15914	shamrock	n	23035	0.01	0	0.68
15371	12358	redistribute	v	23005	0.02	0	0.02
15381	16134	partition	v	22982	0.02	0	0.07
15391	16229	en-suite	j	22947	0.03	0	0.07
15401	15934	stamped	j	22917	0.02	0	0.09
15411	16156	tense	v	22882	0.02	0	0.07
15421	16178	formality	n	22856	0.02	0	0.03
15431	16197	nurturing	n	22832	0.02	0	0.06
15441	16395	daily	n	22809	0.01	0	0.3
15451	16198	rife	j	22773	0.02	0	0.14
15461	16208	detainee	n	22752	0.01	0	0.04
15471	16016	eternally	r	22690	0.02	0	0.04
15481	17594	kefir	n	22667	0.01	0	0.02
15491	16319	ringing	n	22646	0.02	0	0.07
15501	16281	cheetah	n	22600	0.01	0	0.48
15511	16257	timed	j	22554	0.02	0	0.11
15521	16387	arrear	n	22515	0.05	0	0.05
15531	15179	enforceable	j	22494	0.01	0	0.01
15541	16291	telling	n	22453	0.02	0	0.02
15551	16213	Marxist	j	22419	0.01	0	0.96
15561	16382	tiring	j	22389	0.02	0	0.02
15571	16171	coliseum	n	22352	0.01	0	0.9
15581	16637	gearing	n	22327	0.01	0.01	0.03
15591	16343	cremation	n	22302	0.01	0	0.26
15601	16772	trampoline	n	22274	0.01	0	0.01
15611	16326	conceivable	j	22252	0.02	0	0
15621	16342	curate	n	22213	0.02	0	0.1
15631	16469	structurally	r	22191	0.02	0	0.1
15641	16393	libertarian	j	22165	0.01	0	0.39
15651	16580	fuzz	n	22144	0.05	0	0.29
15661	16461	masterful	j	22133	0.02	0	0.04
15671	16502	wi-fi	n	22102	0.01	0	0.21
15681	16519	cramped	j	22059	0.02	0	0.02
15691	16422	tuxedo	n	22032	0.01	0	0.17
15701	16552	stressor	n	21988	0.02	0	0.03
15711	16416	plow	n	21960	0.01	0	0.13
15721	16452	movable	j	21935	0.09	0	0.13
15731	16475	assertive	j	21911	0.02	0	0.08
15741	16842	wearing	n	21883	0.02	0	0.03
15751	16646	swath	n	21868	0.02	0	0.01
15761	16599	shaping	n	21832	0.02	0	0.11
15771	16529	vertigo	n	21805	0.01	0	0.39
15781	16559	invert	v	21771	0.02	0	0.13
15791	16816	scone	n	21732	0.01	0	0.12
15801	16662	hind	j	21692	0.02	0	0.14
15811	16779	racquet	n	21670	0	0	0.05
15821	16630	perpendicular	n	21643	0.08	0	0.02
15831	16774	boom	v	21620	0.02	0	0.03
15841	16358	bookkeeping	n	21582	0.01	0	0.18
15851	16590	caste	n	21566	0.01	0	0.11
15861	16650	populist	j	21551	0.02	0	0.08
15871	16616	rodeo	n	21522	0.01	0	0.15
15881	16742	apricot	n	21497	0.02	0	0.21
15891	16622	fore	n	21460	0.02	0	0.07
15901	16721	enigma	n	21422	0.02	0	0.49
15911	16434	decorator	n	21400	0.01	0	0.18
15921	17257	softener	n	21378	0.01	0	0.01
15931	16812	drumming	n	21352	0.01	0	0.1
15941	16800	fumble	v	21317	0.02	0	0.02
15951	16936	redesigned	j	21265	0.02	0	0.08
15961	16857	sparkly	j	21243	0.02	0	0.06
15971	16993	motorized	j	21215	0.02	0	0.14
15981	16852	reorder	v	21178	0.02	0	0.05
15991	16465	speck	n	21164	0.02	0	0.21
16001	16898	reconfigure	v	21140	0.02	0	0.03
16011	17854	in-app	j	21116	0.05	0	0.06
16021	17008	euthanasia	n	21067	0.01	0	0.06
16031	16907	accelerating	j	21034	0.02	0	0.09
16041	16932	counterterrorism	n	21014	0.01	0	0.2
16051	16840	puff	v	20992	0.02	0	0.08
16061	16908	genotype	n	20968	0.01	0	0.08
16071	17577	audiophile	n	20938	0.01	0	0.03
16081	16777	subsistence	n	20913	0.01	0	0.07
16091	16966	slayer	n	20894	0.01	0	0.6
16101	16893	selfless	j	20866	0.02	0	0.06
16111	16899	grumpy	j	20854	0.02	0	0.15
16121	17022	word	v	20816	0.02	0	0.02
16131	17007	secretariat	n	20789	0.01	0	0.79
16141	16972	multi-year	j	20771	0.02	0	0.05
16151	17055	ventricle	n	20733	0.01	0	0.01
16161	17125	ambush	n	20715	0.02	0	0.08
16171	16639	motoring	n	20690	0.01	0	0.18
16181	17075	grease	v	20666	0.02	0	0.21
16191	17107	Lent	n	20640	0.04	0	1
16201	16700	eyeglass	n	20605	0.01	0	0.06
16211	17039	nip	v	20561	0.02	0	0.08
16221	16888	compulsion	n	20539	0.02	0	0.06
16231	17113	splinter	n	20519	0.02	0	0.29
16241	16663	snore	v	20509	0.01	0	0.15
16251	17094	tailgate	n	20490	0.01	0	0.02
16261	17080	minivan	n	20459	0.01	0	0.03
16271	16781	embroider	v	20437	0.01	0	0.07
16281	17098	braid	v	20404	0.01	0	0.14
16291	17177	fibrous	j	20391	0.02	0	0.04
16301	17193	spectre	n	20377	0.01	0	0.63
16311	16980	dice	v	20358	0.02	0	0
16321	17151	sag	n	20341	0.01	0	0.48
16331	17368	nemesis	n	20324	0.02	0	0.26
16341	17183	diverge	v	20291	0.02	0	0.04
16351	16207	wherefore	r	20267	0.02	0	0.68
16361	17174	jot	v	20232	0.02	0	0.11
16371	17529	gymnasium	n	20201	0.02	0	0.13
16381	17225	tau	n	20149	0.01	0	0.72
16391	17185	bribe	v	20126	0.02	0	0.02
16401	17198	patchwork	n	20096	0.02	0	0.17
16411	17260	chameleon	n	20075	0.01	0	0.47
16421	17337	wake-up	n	20045	0.02	0	0.07
16431	17259	maroon	j	20023	0.01	0	0.48
16441	17486	blonde	n	19995	0.01	0	0.24
16451	17244	audio-visual	j	19961	0.02	0	0.11
16461	17271	two-part	j	19928	0.02	0	0.04
16471	17415	epithelial	j	19911	0.01	0	0.05
16481	17450	stinging	j	19885	0.02	0	0.05
16491	17272	typewriter	n	19857	0.01	0	0.11
16501	17249	disproportionately	r	19828	0.02	0	0.01
16511	17375	spoon	v	19806	0.02	0	0.36
16521	17426	euphoria	n	19776	0.01	0	0.18
16531	17087	self-help	j	19734	0.02	0	0.13
16541	17489	outflow	n	19704	0.01	0	0.04
16551	17388	diseased	j	19685	0.02	0	0.04
16561	17432	winnings	n	19665	0.02	0	0.02
16571	17364	frail	j	19641	0.02	0	0.04
16581	17422	lovable	j	19612	0.02	0	0.03
16591	17391	amphibian	n	19583	0.01	0	0.11
16601	17456	limp	v	19562	0.02	0	0.03
16611	17524	reassemble	v	19536	0.02	0	0.07
16621	17574	rosy	j	19526	0.02	0	0.08
16631	17515	mesmerize	v	19507	0.02	0	0.02
16641	17467	frantically	r	19472	0.02	0	0.03
16651	17638	sterilization	n	19449	0.01	0	0.12
16661	17701	tapa	n	19416	0.01	0	0.08
16671	17468	hands-free	j	19373	0.02	0	0.12
16681	17670	deformation	n	19361	0.01	0	0.03
16691	17760	pituitary	j	19339	0.01	0	0.07
16701	17449	keystroke	n	19317	0.01	0	0.08
16711	17831	sanitize	v	19287	0.01	0	0.03
16721	17596	toffee	n	19256	0.01	0	0.36
16731	17712	megapixel	n	19238	0.01	0	0
16741	17604	pixie	n	19217	0.01	0	0.51
16751	17582	free-standing	j	19191	0.02	0	0.04
16761	17428	embargo	n	19161	0.01	0	0.08
16771	17855	cladding	n	19140	0.01	0	0.06
16781	17114	pessimistic	j	19115	0.02	0	0.03
16791	17752	clustering	n	19074	0.01	0	0.18
16801	17707	microbiology	n	19059	0.02	0	0.33
16811	17680	justified	j	19033	0.01	0	0.13
16821	17780	mid-size	j	19002	0.01	0	0.04
16831	17543	highlighting	n	18975	0.01	0	0.1
16841	17922	buttermilk	n	18953	0.01	0	0.09
16851	17671	nonmember	n	18927	0.02	0	0.18
16861	17685	equinox	n	18901	0.01	0	0.44
16871	17749	asymmetrical	j	18878	0.02	0	0.08
16881	17664	aria	n	18850	0.01	0	0.58
16891	18049	conditioned	j	18827	0.01	0	0.05
16901	17785	orthodoxy	n	18807	0.01	0	0.34
16911	17591	unconsciously	r	18786	0.02	0	0.03
16921	17603	starboard	n	18763	0.01	0	0.18
16931	17708	Argentine	j	18739	0.01	0	0.99
16941	17867	uncontrollable	j	18707	0.02	0	0.05
16951	17786	beggar	n	18687	0.01	0	0.19
16961	16903	astrological	j	18672	0.01	0	0.15
16971	17829	analogue	n	18651	0.02	0	0.08
16981	17199	franc	n	18627	0.04	0	0.4
16991	17950	garnish	n	18597	0.02	0	0.06
17001	17777	fissure	n	18573	0.01	0	0.09
17011	18027	cheater	n	18556	0.01	0	0.1
17021	17823	re-elect	v	18529	0.02	0	0.01
17031	18072	forecaster	n	18513	0.01	0	0.18
17041	17924	resounding	j	18493	0.01	0	0.01
17051	18058	smack	n	18470	0.02	0	0.1
17061	18016	grizzly	j	18442	0.01	0	0.44
17071	18065	Libyan	j	18424	0.01	0	1
17081	17882	purpose-built	j	18399	0.02	0	0.04
17091	18141	miniseries	n	18369	0.01	0	0.04
17101	18089	meteorite	n	18345	0.01	0	0.1
17111	18131	anti-semitic	j	18316	0.01	0	0.04
17121	18035	choppy	j	18286	0.02	0	0.06
17131	18136	self	j	18262	0.02	0	0
17141	18121	second-degree	j	18246	0.01	0	0.02
17151	16127	seventeenth	m	18229	0.05	0	0.12
17161	18195	tic	n	18210	0.01	0	0.38
17171	17729	collectibles	n	18181	0.01	0	0
17181	18157	skating	n	18160	0.01	0	0.08
17191	17863	humbly	r	18124	0.01	0	0.04
17201	18414	till	n	18088	0.07	0	0.25
17211	18154	ice-cream	n	18058	0.01	0	0.09
17221	18183	buoy	n	18035	0.01	0	0.06
17231	18306	bitch	v	18015	0.02	0	0.09
17241	17956	outlay	n	17979	0.02	0	0.04
17251	18232	face-lift	n	17958	0.01	0	0.04
17261	18211	fresco	n	17936	0.04	0	0.16
17271	18095	tassel	n	17915	0.01	0	0.15
17281	18225	trapped	j	17897	0.02	0	0.09
17291	18272	surgically	r	17876	0.02	0	0.01
17301	18256	comparison	i	17854	0.09	0	0
17311	18191	mitten	n	17829	0.01	0	0.29
17321	18293	dwindling	j	17815	0.02	0	0.03
17331	18399	useable	j	17790	0.02	0	0.01
17341	18467	ellipse	n	17759	0.04	0	0.16
17351	18388	turning	j	17730	0.01	0	0
17361	18303	digger	n	17708	0.01	0	0.35
17371	18453	osteopathic	j	17688	0.01	0	0.6
17381	18099	clasp	v	17659	0.01	0	0.12
17391	18365	unknowingly	r	17639	0.01	0	0.04
17401	18401	corset	n	17624	0.01	0	0.16
17411	18148	fentanyl	n	17593	0.01	0	0.15
17421	18392	binge	v	17575	0.01	0	0.15
17431	17796	benzodiazepine	n	17558	0.01	0	0.05
17441	18227	breathability	n	17546	0.03	0	0.03
17451	18531	blight	n	17525	0.01	0	0.18
17461	18382	ordination	n	17514	0.01	0	0.15
17471	18459	disgruntled	j	17478	0.02	0	0.05
17481	18378	corrugated	j	17452	0.01	0	0.12
17491	19364	scalar	j	17418	0.01	0	0.05
17501	18267	inappropriately	r	17399	0.01	0	0.01
17511	18574	subversion	n	17384	0.01	0	0.48
17521	18632	roach	n	17365	0.01	0	0.08
17531	18251	unsurpassed	j	17347	0.01	0	0.05
17541	18662	erect	j	17330	0.01	0	0.02
17551	18505	picket	n	17306	0.01	0	0.11
17561	18506	sizing	n	17279	0.01	0	0
17571	18519	state-owned	j	17259	0.01	0	0.1
17581	18278	overriding	j	17246	0.01	0	0.05
17591	18626	Chilean	j	17221	0.01	0	0.99
17601	18661	violinist	n	17199	0.01	0	0.04
17611	18410	legible	j	17173	0.01	0	0.01
17621	18533	requiem	n	17159	0.01	0	0.69
17631	18670	Kenyan	j	17135	0.01	0	1
17641	18838	discus	n	17124	0.01	0	0.14
17651	18708	otherworldly	j	17099	0.02	0	0.04
17661	18170	redirection	n	17074	0.01	0	0.18
17671	18689	telemetry	n	17058	0.01	0	0.17
17681	18698	hopelessly	r	17039	0.02	0	0.02
17691	18603	westward	r	17014	0.01	0	0.15
17701	18794	crusty	j	16991	0.02	0	0.04
17711	18543	year-end	j	16972	0.01	0	0.12
17721	18935	lymphocyte	n	16941	0.01	0	0.02
17731	18682	polka	n	16917	0.01	0	0.1
17741	18685	well-written	j	16896	0.02	0	0.04
17751	18665	quoted	j	16877	0.01	0	0.06
17761	18787	satirical	j	16846	0.02	0	0.02
17771	18806	self-interest	n	16825	0.01	0	0.03
17781	18817	bruising	j	16807	0.01	0	0.04
17791	18797	scrambled	j	16792	0.01	0	0.13
17801	18836	terrorize	v	16776	0.02	0	0.01
17811	17843	unrivaled	j	16759	0.01	0	0.06
17821	18751	peeling	n	16738	0.01	0	0.08
17831	19320	workbench	n	16717	0.01	0	0.21
17841	18645	provenance	n	16701	0.01	0	0.21
17851	18823	singular	n	16686	0.01	0	0.09
17861	19178	capacitance	n	16662	0.01	0	0
17871	18940	nascent	j	16644	0.01	0	0.04
17881	18900	disapproval	n	16623	0.01	0	0.03
17891	18274	thereon	r	16602	0.01	0	0.02
17901	19001	supercharged	j	16570	0.01	0	0.19
17911	18783	renown	n	16555	0.01	0	0.13
17921	18996	transceiver	n	16536	0.01	0	0.14
17931	18919	welded	j	16515	0.02	0	0.1
17941	19256	colorless	j	16501	0.01	0	0.06
17951	18985	untapped	j	16478	0.01	0	0.05
17961	19401	aerodynamics	n	16460	0.01	0	0.03
17971	18583	paintball	n	16440	0.01	0	0.17
17981	19016	interconnect	v	16416	0.01	0	0
17991	18981	postulate	v	16388	0.01	0	0.03
18001	19068	lexicon	n	16367	0.01	0	0.26
18011	19078	canoeing	n	16350	0.01	0	0.14
18021	19227	franchisor	n	16320	0	0	0.03
18031	18761	navigational	j	16301	0.01	0	0.08
18041	19146	cross-cultural	j	16284	0.02	0	0.13
18051	19125	age-related	j	16254	0.01	0	0.09
18061	18561	self-proclaimed	j	16224	0.01	0	0.03
18071	18994	lowercase	j	16196	0.01	0	0.05
18081	19252	pistachio	n	16170	0.01	0	0.08
18091	19122	blurred	j	16143	0.01	0	0.19
18101	19269	trafficker	n	16120	0.01	0	0.05
18111	19092	allowed	j	16090	0.01	0	0
18121	19186	opus	n	16070	0.01	0	0.46
18131	19159	contentment	n	16051	0.01	0	0.04
18141	19167	courtship	n	16027	0.01	0	0.1
18151	19163	intel	n	16011	0.01	0	0.01
18161	19274	serviceman	n	15993	0.01	0	0.07
18171	19281	transnational	j	15968	0.04	0	0.14
18181	18973	camouflage	v	15948	0.01	0	0.11
18191	19337	incest	n	15922	0.01	0	0.12
18201	18653	undervalue	v	15893	0.01	0	0.02
18211	19008	consecrate	v	15866	0.01	0	0.02
18221	19297	mountaineering	n	15847	0.01	0	0.26
18231	19365	summer	v	15836	0.01	0	0.02
18241	19155	megabyte	n	15818	0.05	0	0.16
18251	19441	thermodynamics	n	15801	0.01	0	0.27
18261	19313	smartly	r	15781	0.01	0	0.07
18271	18881	caterer	n	15761	0.01	0	0.13
18281	19435	toning	j	15747	0.01	0	0.16
18291	20391	origami	n	15709	0.01	0	0
18301	19668	magnifying	j	15687	0.01	0	0
18311	19439	augmentation	n	15671	0.01	0	0.16
18321	19316	extant	j	15663	0.01	0	0.05
18331	19799	regatta	n	15647	0.01	0	0.1
18341	19251	remarry	v	15631	0.01	0	0.01
18351	19180	accordance	n	15605	0.09	0	0
18361	19456	complacency	n	15596	0.01	0	0.08
18371	19322	proportion	i	15581	0.07	0	0
18381	19975	genomics	n	15559	0.01	0	0.26
18391	19552	between	j	15538	0.1	0	0.02
18401	19288	uncompressed	j	15525	0.01	0	0.07
18411	19396	heinous	j	15506	0.01	0	0.02
18421	19563	cauldron	n	15496	0.01	0	0.3
18431	19462	perceptual	j	15477	0.01	0	0.09
18441	19432	two-run	j	15451	0.01	0	0
18451	19491	invading	j	15437	0.01	0	0.02
18461	19625	unknown	n	15416	0.01	0	0.08
18471	19504	unscrupulous	j	15400	0.01	0	0.05
18481	19585	prey	v	15380	0.01	0	0.02
18491	19637	dignitary	n	15364	0.01	0	0.05
18501	19623	mockery	n	15350	0.01	0	0.03
18511	19303	earnestly	r	15339	0.01	0	0.02
18521	19631	all-round	j	15325	0.01	0	0.02
18531	19429	brief	r	15309	0.01	0	0.22
18541	19381	round-trip	n	15296	0.01	0	0.02
18551	19635	two-story	j	15268	0.01	0	0.01
18561	19788	obstetrics	n	15245	0.01	0	0.51
18571	19632	needlessly	r	15227	0.01	0	0.02
18581	20337	methadone	n	15212	0	0	0.06
18591	19292	incorporated	j	15193	0.01	0	0.24
18601	19882	mitt	n	15172	0.01	0	0.02
